id;start_date;end_date;language
1;2021-12-12T08:47:58;2021-12-12T06:38:13;ENGLISH
2;2021-12-11T18:15:33;2021-12-12T03:41:02;FRENCH
3;2021-12-12T04:11:45;2021-12-11T16:16:53;SPANISH
4;2021-12-12T08:42:34;2021-12-11T14:08:53;FRENCH
5;2021-12-12T10:58:57;2021-12-11T19:17:55;ENGLISH
6;2021-12-11T20:29:40;2021-12-12T10:30:00;SPANISH
7;2021-12-12T04:33:28;2021-12-11T15:07:37;FRENCH
8;2021-12-11T18:59:21;2021-12-11T15:35:10;FRENCH
9;2021-12-11T19:50:59;2021-12-12T07:22:25;FRENCH
10;2021-12-11T15:47:57;2021-12-12T08:45:26;FRENCH
